Source	FPS	Mbps	Latency EMA	Latency SMA	Alpha	Step	UTC
 
4	3.99201596806387	34.9868982035928	5.875	6.75	0.5	0	01.11.08.356
4	30	261.970632	-3.62005046114791	1.82352941176471	0.5	0	01.11.09.366
4	30.938123752495	270.140550898204	2.23521964939306	2.1875	0.5	0	01.11.10.374
4	29.97002997003	262.296647352647	1.94871093483419	1.87368421052632	0.5	0	01.11.11.382
4	29.97002997003	262.150993006993	-0.0646912511915798	1.73	0.5	0	01.11.12.392
4	29.97002997003	261.986709290709	4.36484518827434	1.88	0.5	0	01.11.13.402
4	29.97002997003	261.150689310689	1.57204697035704	1.82	0.5	0	01.11.14.411
4	29.97002997003	252.230889110889	-2.12326586685514	1.85	0.5	0	01.11.15.421
4	29.97002997003	251.830321678322	3.25088931888038	1.9	0.5	0	01.11.16.430
4	28.971028971029	243.433294705295	2.25255713542075	1.53	0.5	0	01.11.17.439
4	29.940119760479	254.079161676647	0.254544129247105	1.98	0.5	0	01.11.18.449
4	29.97002997003	255.512823176823	4.39777275850488	1.95	0.5	0	01.11.19.459
4	30	256.19004	-2.18838094882874	2.24	0.5	0	01.11.20.467
4	30.969030969031	264.986325674326	0.366746433922843	3.52	0.5	0	01.11.21.477
4	29.97002997003	257.685986013986	6.92087073565158	3.49	0.5	0	01.11.22.486
4	29.97002997003	257.905582417582	-2.40955803085037	3.46	0.5	0	01.11.23.496
4	30.969030969031	267.285218781219	1.51595704890343	7.1	0.5	0	01.11.24.504
4	29.97002997003	258.603284715285	5.06952553711078	6.56	0.5	0	01.11.25.513
4	29.97002997003	258.951056943057	-1.64291946726408	6.47	0.5	0	01.11.26.523
4	28.9421157684631	248.96119760479	3.32295974842932	2.26	0.5	0	01.11.27.532
4	30	258.883272	-4.08936756819211	2.07	0.5	0	01.11.28.542
4	29.97002997003	260.432919080919	0.525808281689245	2.89	0.5	0	01.11.29.552
4	29.97002997003	250.574457542458	4.3479690482149	2.79	0.5	0	01.11.30.561
4	29.97002997003	238.996819180819	-5.83743034845778	2.03	0.5	0	01.11.31.571
4	29.97002997003	260.654673326673	0.554378634470114	1.46	0.5	0	01.11.32.580
4	29.97002997003	261.371868131868	5.35159171983076	1.45	0.5	0	01.11.33.590
4	30	264.192264	-4.2053334597949	2.12	0.5	0	01.11.34.599
4	30.969030969031	272.639784215784	1.30339660905053	2.67	0.5	0	01.11.35.608
4	29.97002997003	264.388747252747	4.92224751347992	2.96	0.5	0	01.11.36.617
4	29.97002997003	264.077154845155	4.35164339274377	2.22	0.5	0	01.11.37.629
4	30.969030969031	259.486657342657	-0.296158022851084	2.09	0.5	0	01.11.38.638
4	29.97002997003	261.105446553447	5.87112035761014	1.75	0.5	0	01.11.39.647
4	29.97002997003	260.003004995005	-3.95453962782811	2.03	0.5	0	01.11.40.656
4	29.97002997003	260.889734265734	2.97992401201786	2.81	0.5	0	01.11.41.665
4	30	261.419472	5.58745274318375	3.32	0.5	0	01.11.42.677
4	30	261.483408	-2.57168580378059	3.01	0.5	0	01.11.43.688
4	28.9421157684631	252.216479041916	3.00998204613879	3.15	0.5	0	01.11.44.700
4	29.940119760479	260.91851497006	2.77071740665471	2.39	0.5	0	01.11.45.710
4	29.97002997003	261.415672327672	-1.61839566809557	2.09	0.5	0	01.11.46.721
4	29.97002997003	261.690437562438	3.10746932810322	2.66	0.5	0	01.11.47.731
4	29.97002997003	261.418981018981	5.91679552114333	2.18	0.5	0	01.11.48.741
4	29.97002997003	264.359616383616	-0.870589859356733	2.17	0.5	0	01.11.49.751
4	29.97002997003	244.385982017982	2.29916732770336	1.76	0.5	0	01.11.50.762
4	28.9421157684631	235.339449101796	7.48913812572059	1.38	0.5	0	01.11.51.772
4	29.97002997003	261.787828171828	-1.38294990617356	1.5	0.5	0	01.11.52.782
4	29.97002997003	264.949858141858	3.2271266846145	1.4	0.5	0	01.11.53.794
4	28.971028971029	250.50602997003	3.05430343861424	1.77	0.5	0	01.11.54.804
4	29.97002997003	251.166929070929	-2.87878257592474	1.99	0.5	0	01.11.55.814
4	29.97002997003	253.200983016983	2.28673028305286	1.91	0.5	0	01.11.56.824
4	28.971028971029	257.13038961039	5.89970402166874	1.79	0.5	0	01.11.57.835
4	29.97002997003	265.584479520479	-1.24740157653591	2.12	0.5	0	01.11.58.844
4	29.97002997003	265.442853146853	5.14573660749253	2.68	0.5	0	01.11.59.855
4	28.971028971029	256.584023976024	-2.14903520765577	2.53	0.5	0	01.12.00.864
4	31.968031968032	283.20222977023	3.25846060311932	8.56	0.5	0	01.12.01.874
4	29.97002997003	265.292091908092	5.96875271352868	8.18	0.5	0	01.12.02.884
4	29.940119760479	265.285077844311	-1.14908282182296	14.92	0.5	0	01.12.03.895
4	29.940119760479	265.158251497006	3.01758425668899	8.87	0.5	0	01.12.04.905
4	29.940119760479	265.524718562874	1.68084704597368	8.61	0.5	0	01.12.05.916
4	29.97002997003	266.132211788212	-1.01791538234721	1.89	0.5	0	01.12.06.927
4	29.940119760479	264.910562874252	3.75666009726197	2.34	0.5	0	01.12.07.938
4	7	61.761552	2.67092445350493	2.36	0.5	0	01.12.08.950
4	0	0	2.67092445350493	2.36	0.5	0	01.12.16.354
4	0	0	2.67092445350493	2.36	0.5	0	01.12.17.365
4	0	0	2.67092445350493	2.36	0.5	0	01.12.18.376
4	14.985014985015	53.9346173826174	-32.0038247398543	-2.34	0.5	0	01.12.19.385
4	30.969030969031	88.872983016983	-31.7351009300928	-11.89	0.5	0	01.12.20.395
4	30	91.984032	-24.4673822871132	-20.86	0.5	0	01.12.21.405
4	29.940119760479	110.537173652695	-31.9484321337507	-29.15	0.5	0	01.12.22.414
4	29.97002997003	136.175808191808	-25.4604411320281	-28.73	0.5	0	01.12.23.425
4	30	111.75012	-34.1915848846179	-28.6	0.5	0	01.12.24.434
4	29.940119760479	109.786922155689	-30.6616153010128	-28.87	0.5	0	01.12.25.444
4	30	118.797408	-29.0565144537591	-29.02	0.5	0	01.12.26.455
4	29.97002997003	88.7457182817183	-33.7260669498036	-29.7	0.5	0	01.12.27.464
4	29.97002997003	68.9900979020979	-28.4992015266102	-29.63	0.5	0	01.12.28.474
4	29.97002997003	56.4385054945055	-35.0070158592418	-30.25	0.5	0	01.12.29.484
4	30.969030969031	71.0555364635365	-29.8701096400684	-30	0.5	0	01.12.30.494
4	29.940119760479	92.9094610778443	-26.6221633352666	-30.05	0.5	0	01.12.31.505
